iter	Passed	Remaining
0	17	8595
1	31	7749
2	47	7949
3	65	8161
4	79	7828
5	91	7510
6	100	7092
7	115	7118
8	128	6992
9	136	6684
10	143	6386
11	152	6206
12	160	6007
13	166	5794
14	180	5821
15	188	5700
16	208	5921
17	230	6176
18	242	6130
19	262	6294
20	289	6613
21	305	6629
22	323	6712
23	336	6669
24	353	6713
25	363	6624
26	377	6604
27	386	6511
28	395	6423
29	409	6410
30	419	6342
31	427	6255
32	440	6231
33	451	6189
34	462	6140
35	474	6113
36	484	6062
37	492	5984
38	499	5909
39	507	5834
40	517	5790
41	526	5741
42	538	5726
43	549	5695
44	558	5650
45	570	5634
46	579	5581
47	590	5564
48	601	5538
49	610	5494
50	618	5449
51	632	5450
52	642	5415
53	651	5380
54	680	5507
55	750	5948
56	767	5963
57	778	5933
58	795	5942
59	820	6015
60	832	5990
61	841	5946
62	851	5905
63	859	5857
64	867	5807
65	877	5772
66	887	5732
67	900	5719
68	909	5680
69	918	5641
70	931	5628
71	940	5590
72	949	5553
73	963	5544
74	972	5510
75	982	5481
76	990	5441
77	1000	5412
78	1010	5386
79	1022	5370
80	1033	5343
81	1042	5313
82	1062	5339
83	1103	5466
84	1133	5532
85	1140	5488
86	1149	5454
87	1155	5410
88	1196	5524
89	1207	5503
90	1214	5458
91	1228	5446
92	1237	5414
93	1245	5381
94	1324	5644
95	1346	5667
96	1372	5703
97	1390	5703
98	1408	5706
99	1432	5728
100	1446	5713
101	1464	5715
102	1503	5793
103	1518	5782
104	1544	5808
105	1562	5807
106	1579	5801
107	1590	5773
108	1602	5749
109	1617	5735
110	1627	5702
111	1637	5671
112	1646	5638
113	1655	5604
114	1666	5578
115	1675	5546
116	1686	5519
117	1699	5501
118	1708	5470
119	1719	5445
120	1730	5421
121	1742	5399
122	1752	5371
123	1763	5348
124	1773	5320
125	1782	5291
126	1789	5254
127	1796	5220
128	1803	5187
129	1811	5155
130	1831	5159
131	1840	5130
132	1848	5099
133	1857	5072
134	1865	5044
135	1873	5013
136	1880	4983
137	1887	4952
138	1895	4922
139	1903	4895
140	1926	4905
141	1948	4912
142	1957	4885
143	1964	4857
144	1972	4828
145	1982	4806
146	1995	4792
147	2003	4764
148	2022	4763
149	2030	4738
150	2037	4710
151	2054	4704
152	2062	4676
153	2069	4648
154	2076	4621
155	2083	4594
156	2092	4571
157	2102	4551
158	2117	4541
159	2127	4521
160	2139	4504
161	2150	4487
162	2161	4468
163	2172	4451
164	2198	4464
165	2206	4440
166	2214	4416
167	2222	4391
168	2229	4365
169	2239	4346
170	2262	4353
171	2273	4334
172	2291	4330
173	2303	4314
174	2310	4291
175	2318	4268
176	2327	4246
177	2334	4222
178	2341	4198
179	2348	4175
180	2355	4151
181	2365	4132
182	2373	4111
183	2384	4095
184	2393	4076
185	2402	4055
186	2413	4040
187	2425	4024
188	2433	4005
189	2440	3982
190	2447	3959
191	2456	3940
192	2464	3920
193	2471	3897
194	2480	3879
195	2488	3860
196	2495	3839
197	2502	3817
198	2512	3800
199	2522	3783
200	2536	3773
201	2561	3779
202	2584	3781
203	2599	3771
204	2612	3758
205	2623	3744
206	2633	3727
207	2642	3709
208	2663	3708
209	2672	3691
210	2681	3672
211	2688	3652
212	2695	3631
213	2712	3624
214	2723	3610
215	2735	3596
216	2761	3601
217	2772	3586
218	2779	3565
219	2787	3547
220	2794	3527
221	2801	3508
222	2810	3490
223	2818	3472
224	2825	3453
225	2832	3433
226	2842	3418
227	2849	3399
228	2858	3382
229	2866	3364
230	2873	3345
231	2882	3329
232	2889	3310
233	2896	3292
234	2903	3274
235	2910	3255
236	2917	3238
237	2926	3221
238	2933	3203
239	2940	3185
240	2952	3172
241	2962	3157
242	2970	3141
243	2976	3123
244	2990	3112
245	2997	3095
246	3005	3078
247	3013	3061
248	3020	3045
249	3027	3027
250	3035	3011
251	3043	2995
252	3056	2984
253	3064	2967
254	3071	2951
255	3078	2933
256	3085	2917
257	3092	2900
258	3098	2883
259	3105	2866
260	3113	2851
261	3120	2834
262	3127	2818
263	3135	2803
264	3142	2786
265	3150	2771
266	3157	2755
267	3164	2739
268	3171	2723
269	3179	2708
270	3186	2692
271	3193	2676
272	3210	2669
273	3219	2655
274	3226	2639
275	3233	2623
276	3239	2607
277	3245	2592
278	3252	2576
279	3263	2564
280	3275	2552
281	3282	2537
282	3289	2522
283	3298	2508
284	3305	2493
285	3313	2479
286	3321	2465
287	3329	2450
288	3336	2436
289	3343	2421
290	3350	2406
291	3357	2391
292	3365	2377
293	3371	2362
294	3378	2347
295	3384	2332
296	3391	2318
297	3398	2303
298	3405	2289
299	3411	2274
300	3418	2260
301	3427	2247
302	3434	2232
303	3441	2219
304	3448	2204
305	3454	2190
306	3461	2176
307	3468	2162
308	3476	2149
309	3485	2136
310	3493	2123
311	3502	2110
312	3510	2097
313	3517	2083
314	3524	2069
315	3531	2056
316	3538	2042
317	3545	2029
318	3552	2015
319	3559	2002
320	3566	1988
321	3572	1975
322	3580	1961
323	3586	1948
324	3593	1935
325	3600	1921
326	3607	1908
327	3613	1894
328	3620	1881
329	3626	1868
330	3633	1854
331	3640	1842
332	3654	1832
333	3660	1819
334	3667	1806
335	3677	1795
336	3684	1781
337	3690	1768
338	3697	1756
339	3704	1743
340	3710	1730
341	3716	1717
342	3722	1704
343	3730	1691
344	3737	1679
345	3745	1667
346	3753	1654
347	3759	1642
348	3766	1629
349	3773	1617
350	3782	1605
351	3789	1593
352	3797	1581
353	3804	1568
354	3813	1557
355	3819	1545
356	3833	1535
357	3841	1523
358	3851	1512
359	3862	1502
360	3869	1490
361	3878	1478
362	3889	1467
363	3899	1456
364	3908	1445
365	3915	1433
366	3923	1421
367	3931	1410
368	3937	1397
369	3969	1394
370	3984	1385
371	3992	1373
372	3999	1361
373	4007	1350
374	4016	1338
375	4023	1327
376	4030	1315
377	4039	1303
378	4045	1291
379	4052	1279
380	4058	1267
381	4066	1256
382	4073	1244
383	4081	1232
384	4088	1221
385	4095	1209
386	4102	1197
387	4109	1186
388	4116	1174
389	4124	1163
390	4132	1152
391	4139	1140
392	4145	1128
393	4152	1117
394	4158	1105
395	4165	1093
396	4172	1082
397	4181	1071
398	4188	1060
399	4195	1048
400	4201	1037
401	4209	1026
402	4221	1016
403	4228	1004
404	4234	993
405	4241	981
406	4247	970
407	4254	959
408	4263	948
409	4272	937
410	4278	926
411	4292	916
412	4308	907
413	4318	897
414	4331	887
415	4338	876
416	4345	865
417	4353	853
418	4360	842
419	4367	831
420	4375	820
421	4382	810
422	4390	799
423	4398	788
424	4406	777
425	4417	767
426	4426	756
427	4432	745
428	4439	734
429	4460	726
430	4468	715
431	4475	704
432	4485	693
433	4492	683
434	4500	672
435	4510	662
436	4519	651
437	4529	641
438	4538	630
439	4553	620
440	4561	610
441	4569	599
442	4576	588
443	4587	578
444	4595	567
445	4608	557
446	4624	548
447	4631	537
448	4640	527
449	4648	516
450	4657	506
451	4665	495
452	4672	484
453	4679	474
454	4687	463
455	4694	452
456	4704	442
457	4712	432
458	4718	421
459	4728	411
460	4734	400
461	4741	390
462	4748	379
463	4765	369
464	4775	359
465	4785	349
466	4794	338
467	4806	328
468	4816	318
469	4826	308
470	4835	297
471	4848	287
472	4858	277
473	4870	267
474	4885	257
475	4898	246
476	4909	236
477	4932	227
478	4951	217
479	4961	206
480	4979	196
481	4999	186
482	5008	176
483	5020	165
484	5028	155
485	5036	145
486	5048	134
487	5057	124
488	5066	113
489	5074	103
490	5084	93
491	5098	82
492	5111	72
493	5119	62
494	5125	51
495	5132	41
496	5139	31
497	5148	20
498	5156	10
499	5163	0
