iter	Passed	Remaining
0	13	8296
1	24	7399
2	34	6951
3	46	6996
4	58	6941
5	69	6885
6	79	6763
7	91	6778
8	103	6811
9	114	6743
10	126	6751
11	137	6724
12	148	6708
13	158	6653
14	170	6638
15	183	6679
16	198	6823
17	210	6810
18	221	6768
19	238	6904
20	251	6925
21	265	6976
22	279	7000
23	290	6967
24	305	7022
25	315	6957
26	326	6922
27	337	6895
28	347	6848
29	358	6815
30	369	6780
31	379	6729
32	390	6707
33	400	6672
34	411	6646
35	422	6624
36	432	6579
37	443	6562
38	453	6521
39	463	6490
40	473	6453
41	485	6451
42	495	6423
43	507	6409
44	518	6393
45	533	6424
46	545	6422
47	557	6415
48	568	6388
49	577	6355
50	588	6333
51	598	6303
52	609	6287
53	619	6266
54	628	6232
55	639	6207
56	648	6175
57	658	6150
58	669	6141
59	680	6124
60	690	6100
61	710	6165
62	720	6145
63	731	6124
64	742	6109
65	755	6109
66	775	6165
67	786	6149
68	797	6139
69	807	6116
70	830	6186
71	841	6171
72	853	6163
73	867	6169
74	878	6147
75	887	6118
76	897	6095
77	907	6074
78	919	6064
79	929	6040
80	938	6011
81	948	5992
82	964	6005
83	975	5990
84	986	5977
85	998	5967
86	1010	5958
87	1021	5944
88	1032	5928
89	1043	5914
90	1052	5889
91	1065	5881
92	1074	5859
93	1086	5848
94	1096	5830
95	1108	5819
96	1120	5809
97	1130	5790
98	1140	5770
99	1153	5765
100	1164	5754
101	1178	5754
102	1189	5740
103	1199	5719
104	1212	5716
105	1223	5702
106	1233	5683
107	1249	5690
108	1259	5674
109	1272	5666
110	1283	5654
111	1292	5632
112	1302	5612
113	1311	5592
114	1321	5573
115	1331	5555
116	1342	5541
117	1352	5526
118	1364	5516
119	1374	5499
120	1387	5493
121	1403	5498
122	1413	5483
123	1425	5473
124	1436	5458
125	1446	5440
126	1455	5420
127	1466	5407
128	1476	5392
129	1486	5374
130	1497	5362
131	1508	5348
132	1518	5332
133	1529	5319
134	1541	5309
135	1551	5293
136	1561	5275
137	1570	5258
138	1581	5246
139	1591	5228
140	1600	5211
141	1614	5205
142	1623	5187
143	1632	5170
144	1643	5157
145	1653	5141
146	1663	5127
147	1673	5111
148	1684	5098
149	1694	5084
150	1704	5069
151	1716	5060
152	1728	5049
153	1740	5039
154	1750	5026
155	1760	5010
156	1770	4997
157	1780	4982
158	1791	4967
159	1803	4960
160	1819	4961
161	1832	4954
162	1846	4950
163	1856	4934
164	1867	4922
165	1879	4913
166	1893	4909
167	1903	4893
168	1915	4886
169	1926	4872
170	1937	4860
171	1949	4851
172	1959	4836
173	1969	4821
174	1979	4807
175	1989	4791
176	1999	4779
177	2010	4767
178	2021	4755
179	2032	4741
180	2042	4728
181	2053	4715
182	2063	4701
183	2076	4695
184	2086	4681
185	2096	4666
186	2106	4652
187	2117	4640
188	2127	4626
189	2137	4613
190	2147	4598
191	2158	4587
192	2171	4580
193	2182	4567
194	2193	4555
195	2202	4539
196	2215	4532
197	2226	4519
198	2242	4518
199	2252	4504
200	2262	4490
201	2272	4476
202	2282	4463
203	2294	4453
204	2305	4441
205	2314	4427
206	2324	4413
207	2334	4399
208	2344	4386
209	2354	4372
210	2364	4359
211	2374	4345
212	2384	4331
213	2394	4319
214	2405	4306
215	2415	4294
216	2426	4282
217	2437	4271
218	2448	4259
219	2458	4246
220	2469	4235
221	2488	4236
222	2498	4224
223	2509	4211
224	2519	4199
225	2532	4190
226	2545	4183
227	2561	4178
228	2571	4165
229	2581	4152
230	2592	4141
231	2602	4128
232	2616	4120
233	2626	4108
234	2637	4096
235	2647	4082
236	2658	4072
237	2675	4069
238	2689	4062
239	2700	4050
240	2711	4039
241	2721	4026
242	2735	4018
243	2747	4007
244	2758	3996
245	2768	3984
246	2779	3972
247	2790	3960
248	2805	3954
249	2814	3940
250	2824	3927
251	2835	3916
252	2849	3907
253	2860	3896
254	2872	3886
255	2883	3874
256	2899	3869
257	2913	3862
258	2926	3852
259	2939	3843
260	2949	3831
261	2959	3818
262	2981	3820
263	2993	3809
264	3006	3800
265	3017	3788
266	3027	3776
267	3038	3763
268	3051	3754
269	3062	3743
270	3080	3739
271	3092	3729
272	3103	3717
273	3116	3707
274	3126	3694
275	3136	3682
276	3149	3672
277	3162	3662
278	3171	3649
279	3182	3636
280	3192	3623
281	3202	3611
282	3212	3598
283	3223	3586
284	3233	3574
285	3244	3562
286	3254	3549
287	3265	3537
288	3276	3525
289	3287	3514
290	3309	3514
291	3320	3502
292	3331	3490
293	3343	3480
294	3354	3467
295	3366	3457
296	3376	3445
297	3388	3434
298	3398	3421
299	3419	3419
300	3429	3406
301	3440	3394
302	3451	3383
303	3461	3370
304	3473	3359
305	3484	3347
306	3497	3338
307	3507	3325
308	3517	3312
309	3529	3301
310	3539	3289
311	3554	3281
312	3565	3269
313	3575	3256
314	3586	3244
315	3596	3232
316	3607	3220
317	3618	3208
318	3628	3196
319	3639	3184
320	3650	3172
321	3660	3160
322	3673	3150
323	3685	3139
324	3696	3128
325	3710	3118
326	3726	3111
327	3743	3104
328	3755	3093
329	3765	3080
330	3776	3069
331	3788	3058
332	3798	3045
333	3809	3033
334	3821	3022
335	3831	3010
336	3841	2997
337	3852	2986
338	3862	2973
339	3872	2961
340	3882	2949
341	3892	2936
342	3906	2927
343	3917	2915
344	3930	2905
345	3941	2893
346	3951	2881
347	3962	2869
348	3972	2857
349	3982	2844
350	3992	2832
351	4002	2819
352	4012	2807
353	4023	2796
354	4033	2783
355	4044	2771
356	4054	2759
357	4064	2747
358	4074	2735
359	4084	2722
360	4094	2710
361	4104	2698
362	4115	2686
363	4125	2674
364	4134	2661
365	4145	2650
366	4156	2638
367	4167	2627
368	4177	2615
369	4187	2603
370	4198	2591
371	4209	2580
372	4222	2569
373	4232	2557
374	4242	2545
375	4252	2533
376	4264	2522
377	4274	2510
378	4285	2499
379	4296	2487
380	4305	2475
381	4316	2463
382	4325	2450
383	4335	2438
384	4346	2427
385	4356	2415
386	4368	2404
387	4378	2392
388	4388	2380
389	4398	2368
390	4409	2357
391	4419	2345
392	4429	2333
393	4439	2321
394	4451	2310
395	4464	2300
396	4476	2289
397	4486	2276
398	4496	2265
399	4509	2254
400	4519	2243
401	4529	2230
